Date,In1,In2,In3,In4,In5,In6,In7,In8,In9,In10,In11,Out
2018-04-05,3157.73,3355.75,69368.38,11490.84,2548.26,63.54,65,1324.3,2,82,9,9
2018-04-06,3141.22,3339.41,69546.3,11491.92,2553.14,62.06,64.86,1331.9,7,80,4,13
2018-04-07,3125.25,3323.76,69713.92,11493.74,2557.67,63.86,65.16,1337.23,4.5,81,6.5,20
2018-04-08,3109.83,3308.78,69871.24,11496.31,2561.83,64.4,65.23,1337.02,4.5,81,6.5,26
2018-04-09,3094.94,3294.48,70018.26,11499.63,2565.64,63.42,64.9,1336.3,6,77,8,34
2018-04-10,3080.6,3280.86,70154.98,11503.69,2569.1,65.51,64.87,1342,7,48,8,42
2018-04-11,3066.79,3267.92,70281.4,11508.5,2572.2,66.82,64.93,1356.5,7,51,6,48
2018-04-12,3053.53,3255.66,70397.52,11514.05,2574.94,67.07,65.19,1338.4,11,61,1,49
2018-04-13,3040.81,3244.07,70503.34,11520.35,2577.33,67.39,65.28,1344.8,12,62,3,52
2018-04-14,3028.63,3233.16,70598.85,11527.39,2579.36,66.98,65.63,1349.98,5,41,1,53
2018-04-15,3016.99,3222.93,70684.07,11535.19,2581.03,67.21,65.69,1349.3,7.12,62.75,5,58
2018-04-16,3005.89,3213.38,70758.98,11543.72,2582.35,66.22,65.2,1347.5,8,50,4,62
2018-04-17,2995.33,3204.51,70823.6,11553.01,2583.31,66.52,65.43,1347.2,10,63,5,67
2018-04-18,2985.31,3196.31,70877.91,11563.03,2583.92,68.47,65.68,1351.2,10,68,1,68
2018-04-19,2975.84,3188.79,70921.93,11573.81,2584.17,68.29,66.01,1346.8,23,41,1,69
2018-04-20,2966.9,3181.95,70955.64,11585.33,2584.07,68.38,66.11,1336.7,11,69,1,70
2018-04-21,2958.51,3175.79,70979.05,11597.59,2583.6,67.92,66.07,1327.21,13,67,2,72
2018-04-22,2950.65,3170.3,70992.16,11610.61,2582.79,67.98,66.13,1320.04,9.43,61.43,3.86,76
2018-04-23,2943.34,3165.5,70994.97,11624.36,2581.61,68.64,66.2,1322.5,12,71,4,80
2018-04-24,2936.57,3161.37,70987.48,11638.87,2580.08,67.7,66.54,1331.4,17,43,6,86
2018-04-25,2930.34,3157.92,70969.69,11654.12,2578.2,68.05,66.41,1321.2,24,53,11,97
2018-04-26,2924.65,3155.14,70941.6,11670.11,2575.96,68.19,66.91,1316.3,19,51,3,91
2018-04-27,2919.5,3153.05,70903.2,11686.86,2573.36,68.1,66.9,1320.3,29,92,4,91
2018-04-28,2914.9,3151.63,70854.51,11704.34,2570.41,68.29,66.48,1319.93,22,74,12,96
2018-04-29,2910.83,3150.89,70795.52,11722.58,2567.1,68.36,66.54,1320.58,2,12,3,93
2018-04-30,2907.3,3150.83,70726.22,11741.55,2563.43,68.57,66.61,1316.2,29,87,5,90
2018-05-01,2904.29,3151.41,70649.35,11760.66,2559.55,67.25,66.45,1303.8,14.67,58.67,4.06,86
2018-05-02,2901.65,3152.5,70575.8,11777.4,2555.98,67.93,66.79,1302.6,6,61,10,90
2018-05-03,2899.36,3154.05,70508.28,11791.17,2552.86,68.43,67.08,1310.7,17,69,4,93
2018-05-04,2897.41,3156.07,70446.81,11801.95,2550.2,69.72,66.66,1312.7,16,63,3,93
2018-05-05,2895.81,3158.55,70391.38,11809.75,2548,69.11,66.88,1316.13,17,58,10,102
